"","price","service","recomm","platform"
"1","6000","streaming_only","yes","iOS"
"5","8000","download_only","yes","iOS"
"9","10000","both","yes","iOS"
"11","8000","streaming_only","no","iOS"
"13","6000","download_only","no","iOS"
"18","10000","both","no","iOS"
"19","6000","streaming_only","yes","Android"
"24","10000","download_only","yes","Android"
"26","8000","both","yes","Android"
"30","10000","streaming_only","no","Android"
"32","8000","download_only","no","Android"
"34","6000","both","no","Android"
