"name","run.no.in.std.order","run.no","run.no.std.rp","x1","x2","x3","x4","x5","x6","x7","x8","s","p","y"
"1","8_1","1_1","8_1","2","2","1","3","1","3","2","2","-1","-1",NA
"2","8_2","1_2","8_2","2","2","1","3","1","3","2","2","1","-1",NA
"3","8_3","1_3","8_3","2","2","1","3","1","3","2","2","-1","1",NA
"4","8_4","1_4","8_4","2","2","1","3","1","3","2","2","1","1",NA
"5","17_1","2_1","17_1","1","3","3","1","1","2","2","2","-1","-1",NA
"6","17_2","2_2","17_2","1","3","3","1","1","2","2","2","1","-1",NA
"7","17_3","2_3","17_3","1","3","3","1","1","2","2","2","-1","1",NA
"8","17_4","2_4","17_4","1","3","3","1","1","2","2","2","1","1",NA
"9","16_1","3_1","16_1","2","3","2","2","1","3","1","3","-1","-1",NA
"10","16_2","3_2","16_2","2","3","2","2","1","3","1","3","1","-1",NA
"11","16_3","3_3","16_3","2","3","2","2","1","3","1","3","-1","1",NA
"12","16_4","3_4","16_4","2","3","2","2","1","3","1","3","1","1",NA
"13","3_1","4_1","3_1","1","1","2","1","3","3","2","3","-1","-1",NA
"14","3_2","4_2","3_2","1","1","2","1","3","3","2","3","1","-1",NA
"15","3_3","4_3","3_3","1","1","2","1","3","3","2","3","-1","1",NA
"16","3_4","4_4","3_4","1","1","2","1","3","3","2","3","1","1",NA
"17","7_1","5_1","7_1","2","2","1","1","3","2","3","3","-1","-1",NA
"18","7_2","5_2","7_2","2","2","1","1","3","2","3","3","1","-1",NA
"19","7_3","5_3","7_3","2","2","1","1","3","2","3","3","-1","1",NA
"20","7_4","5_4","7_4","2","2","1","1","3","2","3","3","1","1",NA
"21","13_1","6_1","13_1","2","3","1","2","3","1","2","1","-1","-1",NA
"22","13_2","6_2","13_2","2","3","1","2","3","1","2","1","1","-1",NA
"23","13_3","6_3","13_3","2","3","1","2","3","1","2","1","-1","1",NA
"24","13_4","6_4","13_4","2","3","1","2","3","1","2","1","1","1",NA
"25","18_1","7_1","18_1","1","3","3","3","3","3","3","1","-1","-1",NA
"26","18_2","7_2","18_2","1","3","3","3","3","3","3","1","1","-1",NA
"27","18_3","7_3","18_3","1","3","3","3","3","3","3","1","-1","1",NA
"28","18_4","7_4","18_4","1","3","3","3","3","3","3","1","1","1",NA
"29","1_1","8_1","1_1","1","1","1","1","1","1","1","1","-1","-1",NA
"30","1_2","8_2","1_2","1","1","1","1","1","1","1","1","1","-1",NA
"31","1_3","8_3","1_3","1","1","1","1","1","1","1","1","-1","1",NA
"32","1_4","8_4","1_4","1","1","1","1","1","1","1","1","1","1",NA
"33","9_1","9_1","9_1","1","2","2","2","2","2","2","1","-1","-1",NA
"34","9_2","9_2","9_2","1","2","2","2","2","2","2","1","1","-1",NA
"35","9_3","9_3","9_3","1","2","2","2","2","2","2","1","-1","1",NA
"36","9_4","9_4","9_4","1","2","2","2","2","2","2","1","1","1",NA
"37","4_1","10_1","4_1","2","1","2","3","1","2","3","1","-1","-1",NA
"38","4_2","10_2","4_2","2","1","2","3","1","2","3","1","1","-1",NA
"39","4_3","10_3","4_3","2","1","2","3","1","2","3","1","-1","1",NA
"40","4_4","10_4","4_4","2","1","2","3","1","2","3","1","1","1",NA
"41","11_1","11_1","11_1","2","2","3","1","2","3","1","1","-1","-1",NA
"42","11_2","11_2","11_2","2","2","3","1","2","3","1","1","1","-1",NA
"43","11_3","11_3","11_3","2","2","3","1","2","3","1","1","-1","1",NA
"44","11_4","11_4","11_4","2","2","3","1","2","3","1","1","1","1",NA
"45","2_1","12_1","2_1","1","1","1","2","2","3","3","2","-1","-1",NA
"46","2_2","12_2","2_2","1","1","1","2","2","3","3","2","1","-1",NA
"47","2_3","12_3","2_3","1","1","1","2","2","3","3","2","-1","1",NA
"48","2_4","12_4","2_4","1","1","1","2","2","3","3","2","1","1",NA
"49","5_1","13_1","5_1","2","1","3","2","3","2","1","2","-1","-1",NA
"50","5_2","13_2","5_2","2","1","3","2","3","2","1","2","1","-1",NA
"51","5_3","13_3","5_3","2","1","3","2","3","2","1","2","-1","1",NA
"52","5_4","13_4","5_4","2","1","3","2","3","2","1","2","1","1",NA
"53","6_1","14_1","6_1","2","1","3","3","2","1","2","3","-1","-1",NA
"54","6_2","14_2","6_2","2","1","3","3","2","1","2","3","1","-1",NA
"55","6_3","14_3","6_3","2","1","3","3","2","1","2","3","-1","1",NA
"56","6_4","14_4","6_4","2","1","3","3","2","1","2","3","1","1",NA
"57","12_1","15_1","12_1","1","2","3","2","1","1","3","3","-1","-1",NA
"58","12_2","15_2","12_2","1","2","3","2","1","1","3","3","1","-1",NA
"59","12_3","15_3","12_3","1","2","3","2","1","1","3","3","-1","1",NA
"60","12_4","15_4","12_4","1","2","3","2","1","1","3","3","1","1",NA
"61","10_1","16_1","10_1","1","2","2","3","3","1","1","2","-1","-1",NA
"62","10_2","16_2","10_2","1","2","2","3","3","1","1","2","1","-1",NA
"63","10_3","16_3","10_3","1","2","2","3","3","1","1","2","-1","1",NA
"64","10_4","16_4","10_4","1","2","2","3","3","1","1","2","1","1",NA
"65","15_1","17_1","15_1","2","3","2","1","2","1","3","2","-1","-1",NA
"66","15_2","17_2","15_2","2","3","2","1","2","1","3","2","1","-1",NA
"67","15_3","17_3","15_3","2","3","2","1","2","1","3","2","-1","1",NA
"68","15_4","17_4","15_4","2","3","2","1","2","1","3","2","1","1",NA
"69","14_1","18_1","14_1","1","3","1","3","2","2","1","3","-1","-1",NA
"70","14_2","18_2","14_2","1","3","1","3","2","2","1","3","1","-1",NA
"71","14_3","18_3","14_3","1","3","1","3","2","2","1","3","-1","1",NA
"72","14_4","18_4","14_4","1","3","1","3","2","2","1","3","1","1",NA
